symbol,1,2,3,4,5,6,12,13,14,15,16,23,24,25,26,34,35,36,45,46,56,123,124,125,126,134,135,136,145,146,156
0,0.838784,0.666337,0.530341,0.505960,0.515159,0.619790,0.553940,0.433703,0.422149,0.426953,0.522754,0.464863,0.339475,0.338781,0.395509,0.375014,0.293618,0.320471,0.363143,0.319726,0.435850,0.375168,0.283169,0.283683,0.345681,0.268463,0.234909,0.266861,0.265364,0.267874,0.314286
1,0.583203,0.502218,0.504205,0.678890,0.529429,0.507134,0.365141,0.312605,0.370811,0.308103,0.332279,0.428354,0.352764,0.265373,0.260613,0.425430,0.265980,0.256449,0.396163,0.344772,0.451954,0.300974,0.243157,0.228929,0.259848,0.249762,0.184964,0.195159,0.218450,0.207752,0.306161
2,0.500248,0.500618,0.784984,0.751318,0.769079,0.500220,0.457782,0.419100,0.375762,0.384655,0.472726,0.457980,0.375921,0.384802,0.434741,0.552063,0.533238,0.416147,0.624033,0.375752,0.401439,0.317447,0.291179,0.326311,0.452308,0.288972,0.290028,0.330598,0.311942,0.320584,0.328806
3,0.504498,0.594907,0.500843,0.500125,0.547714,0.503088,0.475075,0.252500,0.252285,0.276013,0.468882,0.300950,0.297747,0.313297,0.412928,0.505559,0.401778,0.251790,0.422002,0.251580,0.286192,0.238823,0.237693,0.252171,0.502535,0.255000,0.207758,0.234577,0.215866,0.234482,0.283202
4,0.505537,0.569564,0.590095,0.941312,0.500894,0.500010,0.349900,0.331621,0.473550,0.419136,0.422025,0.581873,0.513369,0.285067,0.284864,0.551016,0.295342,0.295106,0.472725,0.470670,0.499864,0.308090,0.290978,0.254675,0.267187,0.296811,0.242015,0.237854,0.346568,0.335379,0.509704
5,0.600613,0.569011,0.530341,0.509687,0.513434,0.560905,0.325009,0.310762,0.303552,0.306107,0.592615,0.565786,0.289569,0.288780,0.308756,0.291804,0.276914,0.290149,0.473102,0.287663,0.307751,0.287298,0.164665,0.164872,0.304793,0.164470,0.161206,0.297705,0.259659,0.305586,0.349345
6,0.716394,0.869092,0.590095,0.577238,0.856881,0.702655,0.593902,0.394214,0.388865,0.533542,0.740408,0.506587,0.477764,0.646726,0.580410,0.593180,0.487998,0.386666,0.531160,0.381532,0.543265,0.349242,0.333343,0.491940,0.670307,0.319553,0.293097,0.402155,0.309882,0.398363,0.512810
7,0.646799,0.634744,0.878336,0.758736,0.536231,0.520408,0.513958,0.513558,0.440982,0.339015,0.362394,0.581257,0.435947,0.330175,0.335998,0.567293,0.456850,0.449510,0.523597,0.403675,0.431380,0.393421,0.333369,0.316237,0.340706,0.314868,0.266472,0.298864,0.287493,0.281303,0.299106
8,0.508009,0.500358,0.501903,0.508690,0.527859,0.502202,0.263886,0.254625,0.256634,0.266303,0.321507,0.273740,0.254845,0.264035,0.253921,0.307355,0.265727,0.251660,0.332270,0.255037,0.302968,0.255928,0.152945,0.151861,0.270558,0.154417,0.193991,0.167314,0.166865,0.165187,0.267243
