parameter,phi1,phi2,phi3,phi4,phi5,phi6
phi1,39.478417604357,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
phi2,0.000000000000,39.478417604357,0.000000000000,0.000000000000,0.000000000000,0.000000000000
phi3,0.000000000000,0.000000000000,39.478417604357,0.000000000000,0.000000000000,0.000000000000
phi4,0.000000000000,0.000000000000,0.000000000000,39.478417604357,0.000000000000,0.000000000000
phi5,0.000000000000,0.000000000000,0.000000000000,0.000000000000,39.478417604357,0.000000000000
phi6,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,39.478417604357
